Domain,Reporter Countries,Partner Countries,Element,Item,Year,Value
"Detailed trade matrix","United States of America","Argentina","Import Quantity","Wheat","2022","4806.43"
"Detailed trade matrix","United States of America","Armenia","Import Quantity","Wheat","2022","3.73"
"Detailed trade matrix","United States of America","Austria","Import Quantity","Wheat","2022","2.52"
"Detailed trade matrix","United States of America","Bangladesh","Import Quantity","Wheat","2022","2.44"
"Detailed trade matrix","United States of America","Canada","Import Quantity","Wheat","2022","1670250.75"
"Detailed trade matrix","United States of America","Dominican Republic","Import Quantity","Wheat","2022","22.39"
"Detailed trade matrix","United States of America","Egypt","Import Quantity","Wheat","2022","2.51"
"Detailed trade matrix","United States of America","Germany","Import Quantity","Wheat","2022","23"
"Detailed trade matrix","United States of America","Ghana","Import Quantity","Wheat","2022","3.19"
"Detailed trade matrix","United States of America","India","Import Quantity","Wheat","2022","24.95"
"Detailed trade matrix","United States of America","Israel","Import Quantity","Wheat","2022","1.27"
"Detailed trade matrix","United States of America","Italy","Import Quantity","Wheat","2022","553.92"
"Detailed trade matrix","United States of America","Lithuania","Import Quantity","Wheat","2022","9.58"
"Detailed trade matrix","United States of America","Mexico","Import Quantity","Wheat","2022","1294.64"
"Detailed trade matrix","United States of America","Nepal","Import Quantity","Wheat","2022","1.24"
"Detailed trade matrix","United States of America","Netherlands (Kingdom of the)","Import Quantity","Wheat","2022","0.39"
"Detailed trade matrix","United States of America","New Zealand","Import Quantity","Wheat","2022","46.85"
"Detailed trade matrix","United States of America","Peru","Import Quantity","Wheat","2022","35.81"
"Detailed trade matrix","United States of America","Switzerland","Import Quantity","Wheat","2022","0.72"
"Detailed trade matrix","United States of America","Syrian Arab Republic","Import Quantity","Wheat","2022","2.22"
"Detailed trade matrix","United States of America","United Kingdom of Great Britain and Northern Ireland","Import Quantity","Wheat","2022","9.32"
